,long,lat,unique_squirrel_id,hectare,shift,date,hectare_squirrel_number,age,primary_fur_color,highlight_fur_color,combination_of_primary_and_highlight_color,color_notes,location,above_ground_sighter_measurement,specific_location,running,chasing,climbing,eating,foraging,other_activities,kuks,quaas,moans,tail_flags,tail_twitches,approaches,indifferent,runs_from,other_interactions,lat_long,zip_codes,community_districts,borough_boundaries,city_council_districts,police_precincts
1,-73.95704377,40.79485094,37E-PM-1006-03,37E,PM,10062018,3,Adult,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,,1,0,0,0,0,,0,0,0,0,0,0,0,1,me,POINT (-73.9570437717691 40.794850940803904),,19,4,19,13
51,-73.96756343,40.78134774,19D-AM-1007-01,19D,AM,10072018,1,Juvenile,Gray,,Gray+,,Ground Plane,FALSE,,0,0,1,1,0,,0,0,0,0,0,0,0,0,fenced off area can't approach,POINT (-73.9675634326877 40.7813477352507),,19,4,19,13
77,-73.96447484,40.78838401,28C-PM-1006-01,28C,PM,10062018,1,Adult,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,,0,0,0,0,0,gathering acorns,0,0,0,1,0,0,0,1,gnd to tree,POINT (-73.964474836001 40.7883840104749),,19,4,19,13
87,-73.96836083,40.78429274,22B-AM-1013-04,22B,AM,10132018,4,Adult,Cinnamon,,Cinnamon+,,Ground Plane,FALSE,Under bench,0,0,0,0,1,,0,0,0,0,0,0,0,1,ran from dog-walker,POINT (-73.9683608295976 40.7842927405327),,19,4,19,13
123,-73.95886603,40.79825979,40A-AM-1010-03,40A,AM,10102018,3,Adult,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,bottom of great hill,0,0,0,1,1,,0,0,0,1,0,0,1,1,dog chased,POINT (-73.9588660250232 40.7982597947515),,19,4,19,13
127,-73.97462291,40.77484671,10B-PM-1014-05,10B,PM,10142018,5,Adult,Gray,White,Gray+White,,Ground Plane,FALSE,,0,0,0,1,1,,0,0,0,0,1,0,0,0,avoided people,POINT (-73.9746229094643 40.7748467061969),,19,4,19,13
130,-73.97555608,40.76629923,2F-AM-1006-05,02F,AM,10062018,5,Adult,Gray,"Cinnamon, White","Gray+Cinnamon, White",,Ground Plane,FALSE,,0,0,0,0,1,,0,0,0,0,0,0,0,0,curious but shy,POINT (-73.9755560786227 40.7662992317575),,19,4,19,13
132,-73.96647116,40.78789643,26A-PM-1006-06,26A,PM,10062018,6,Adult,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,Tree 90th left 90th & 89,0,0,1,0,0,,0,0,0,1,0,0,0,0,studying us looking for food,POINT (-73.9664711607022 40.787896428768),,19,4,19,13
134,-73.96941681,40.77288774,11G-PM-1013-01,11G,PM,10132018,1,Adult,Gray,Cinnamon,Gray+Cinnamon,,Above Ground,5,In the Woods/Brush,0,0,1,0,1,,0,0,0,0,0,0,0,1,watching me,POINT (-73.9694168118643 40.7728877377977),,19,4,19,13
136,-73.97824171,40.7724665,7A-AM-1006-01,07A,AM,10062018,1,Adult,Gray,White,Gray+White,,Above Ground,10,in tree,0,0,0,0,1,,0,1,0,0,1,0,0,0,looked at us,POINT (-73.9782417115139 40.7724665036447),,19,4,19,13
155,-73.957659,40.79727519,39C-PM-1006-02,39C,PM,10062018,2,Adult,Gray,,Gray+,,Above Ground,50,,0,0,1,0,0,,0,0,0,0,0,0,0,0,unaware of,POINT (-73.95765899974931 40.7972751877447),,19,4,19,13
